code,split_index
us-ia-167,
us-ia-169,
us-ia-171,0.016685639
us-ia-173,0.036735375
us-ia-175,0.02365317
us-ia-177,
us-ia-179,
us-ia-181,0.035487125
us-ia-183,
us-ia-185,
us-ia-187,
us-ia-189,0.035814812
us-ia-191,0.039646387
us-ia-193,0.04979315
us-ia-195,0.007134795
us-ia-197,0.03582348
us-ks-001,
us-ks-003,
us-ks-005,
us-ks-007,
us-ks-009,
us-ks-011,
us-ks-013,
us-ks-015,
us-ks-017,
us-ks-019,
us-ks-021,
us-ks-023,
us-ks-025,
us-ks-027,
us-ks-029,
us-ks-031,
us-ks-033,
us-ks-035,
us-ks-037,
us-ks-039,
us-ks-041,
us-ks-043,
us-ks-045,
us-ks-047,
us-ks-049,
us-ks-051,
us-ks-053,
us-ks-055,
us-ks-057,
us-ks-059,
us-ks-061,
us-ks-063,
us-ks-065,
us-ks-067,
us-ks-069,
us-ks-071,
us-ks-073,
us-ks-075,
us-ks-077,
us-ks-079,
us-ks-081,
us-ks-083,
us-ks-085,
us-ks-087,
us-ks-089,
us-ks-091,
us-ks-093,
us-ks-095,
us-ks-097,
us-ks-099,
us-ks-101,
us-ks-103,
us-ks-105,
us-ks-107,
us-ks-109,
us-ks-111,
us-ks-113,
us-ks-115,
us-ks-117,
us-ks-119,
us-ks-121,
us-ks-123,
us-ks-125,
us-ks-127,
us-ks-129,
us-ks-131,
us-ks-133,
us-ks-135,
us-ks-137,
us-ks-139,
us-ks-141,
us-ks-143,
us-ks-145,
us-ks-147,
us-ks-149,
us-ks-151,
us-ks-153,
us-ks-155,
us-ks-157,
us-ks-159,
us-ks-161,
us-ks-163,
us-ks-165,
us-ks-167,
us-ks-169,
us-ks-171,
us-ks-173,
us-ks-175,
us-ks-177,
us-ks-179,
us-ks-181,
us-ks-183,
us-ks-185,
us-ks-187,
us-ks-189,
us-ks-191,
us-ks-193,
us-ks-195,
us-ks-197,
us-ks-199,
us-ks-201,
us-ks-203,
us-ks-205,
us-ks-207,
us-ks-209,
us-ky-001,0.025673969
us-ky-003,0.03364144
us-ky-005,0.036343861
us-ky-007,0.04180328
us-ky-009,0.386331675
us-ky-011,0.023971019
us-ky-013,0.289565754
us-ky-015,0.095221375
us-ky-017,0.064282361
us-ky-019,0.03602172
us-ky-021,0.544299397
us-ky-023,0.017978032
us-ky-025,0.438393168
us-ky-027,0.372692045
us-ky-029,0.387770662
us-ky-031,0.290799857
us-ky-033,0.022876515
us-ky-035,0.048381855
us-ky-037,0.103221537
us-ky-039,0.044673712
us-ky-041,0.029931689
us-ky-043,0.372543296
us-ky-045,0.027720873
us-ky-047,0.023675022
us-ky-049,0.048144306
us-ky-051,0.189448796
us-ky-053,0.056562322
us-ky-055,0.018850378
us-ky-057,0.085649818
us-ky-059,0.523533521
us-ky-061,0.304824561
us-ky-063,0.429071804
us-ky-065,0.03324981
us-ky-067,0.10172103
us-ky-069,0.018201997
us-ky-071,0.396281741
us-ky-073,0.053903631
us-ky-075,0.042775204
us-ky-077,0.02493881
us-ky-079,0.320805457
us-ky-081,0.038035205
us-ky-083,0.029962047
us-ky-085,0.315478442
us-ky-087,0.258203638
us-ky-089,0.062654073
us-ky-091,0.495692666
us-ky-093,0.536588192
us-ky-095,0.215115739
us-ky-097,0.026725462
us-ky-099,0.386701542
us-ky-101,0.03191759
us-ky-103,0.038287047
us-ky-105,0.053243135
us-ky-107,0.04099087
us-ky-109,0.155062716
us-ky-111,0.070709765
us-ky-113,0.155291285
us-ky-115,0.225031341
us-ky-117,0.099735512
us-ky-119,0.351986812
us-ky-121,0.250374625
us-ky-123,0.346631066
us-ky-125,0.240043491
us-ky-127,0.28939093
us-ky-129,0.276715411
us-ky-131,0.150712378
us-ky-133,0.285964528
us-ky-135,0.014540554
us-ky-137,0.330038699
us-ky-139,0.05044993
us-ky-141,0.02317161
us-ky-143,0.019498952
us-ky-145,0.027836038
us-ky-147,0.189750693
us-ky-149,0.050314872
us-ky-151,0.05465137
us-ky-153,0.367083659
us-ky-155,0.064798631
us-ky-157,0.05055214
us-ky-159,0.159752087
us-ky-161,0.047524669
us-ky-163,0.415665113
us-ky-165,0.020155964
us-ky-167,0.381908361
us-ky-169,0.058033303
us-ky-171,0.106938972
us-ky-173,0.033535491
us-ky-175,0.345549738
us-ky-177,0.133838315
us-ky-179,0.50898952
us-ky-181,0.036831386
us-ky-183,0.028743902
us-ky-185,0.107906945
us-ky-187,0.021987557
us-ky-189,0.234792496
us-ky-191,0.026301307
us-ky-193,0.329360575
us-ky-195,0.28615447
us-ky-197,0.023498196
us-ky-199,0.258300346
us-ky-201,0.037146036
us-ky-203,0.230085189
us-ky-205,0.601435353
us-ky-207,0.022255626
us-ky-209,0.065674878
us-ky-211,0.062868584
us-ky-213,0.034569065
us-ky-215,0.080481114
us-ky-217,0.031753072
us-ky-219,0.034595068
us-ky-221,0.019649228
us-ky-223,0.055967704
us-ky-225,0.118711519
us-ky-227,0.583316135
us-ky-229,0.395726019
us-ky-231,0.292354855
us-ky-233,0.041868057
us-ky-235,0.253775229
us-ky-237,0.017191651
us-ky-239,0.074753304
us-la-001,0.178424014
us-la-003,0.028015865
us-la-005,0.015539854
us-la-007,0.149450363
us-la-009,0.478626553
us-la-011,0.028615487
us-la-013,0.156682018
us-la-015,0.122302075
us-la-017,0.16885556
us-la-019,0.175661872
us-la-021,0.269394714
us-la-023,0.086370038
us-la-025,0.419686985
us-la-027,0.171719627
us-la-029,0.567064923
us-la-031,0.106863381
us-la-033,0.138751919
us-la-035,0.95236475
us-la-037,0.435658646
us-la-039,0.120045802
us-la-041,0.425780397
us-la-043,0.227128443
us-la-045,0.155325537
us-la-047,0.323604026
us-la-049,0.450763666
us-la-051,0.119124863
us-la-053,0.156055572
us-la-055,0.228805833
us-la-057,0.042891687
us-la-059,0.157634343
us-la-061,0.613932187
us-la-063,0.052532752
us-la-065,0.88271344
us-la-067,0.668874452
us-la-069,0.120473646
us-la-071,0.104008285
us-la-073,0.565990855
us-la-075,0.081832407
us-la-077,0.17593053
us-la-079,0.513493069
us-la-081,0.163012039
us-la-083,0.509377931
us-la-085,0.065946762
us-la-087,0.038456778
us-la-089,0.520782407
us-la-091,0.260873826
us-la-093,0.685932975
us-la-095,0.295458771
us-la-097,0.421122814
us-la-099,0.259135256
us-la-101,0.124180571
us-la-103,0.065682253
us-la-105,0.230037876
us-la-107,0.797488226
us-la-109,0.050710837
us-la-111,0.037029457
us-la-113,0.172077795
us-la-115,0.035096788
us-la-117,0.478741679
us-la-119,0.219670765
us-la-121,0.217449953
us-la-123,0.240911956
us-la-125,0.609242973
us-la-127,0.405838041
us-me-001,0.023144377
us-me-003,0.014798476
us-me-005,0.030015802
us-me-007,0.046583478
us-me-009,0.048850433
us-me-011,0.024463203
us-me-013,0.060480023
us-me-015,0.023302782
us-me-017,0.053243732
us-me-019,0.033946959
us-me-021,0.023890234
us-me-023,0.042872277
