,name,code,split_index
461,"Montgomery County, GA",us-ga-209,0.04486103940801932
462,"Morgan County, GA",us-ga-211,0.4482849604221636
463,"Murray County, GA",us-ga-213,0.24217370364424468
464,"Muscogee County, GA",us-ga-215,0.019213854509431194
465,"Newton County, GA",us-ga-217,0.05336540651954949
466,"Oconee County, GA",us-ga-219,0.4722070574222046
467,"Oglethorpe County, GA",us-ga-221,0.4441863949655379
468,"Paulding County, GA",us-ga-223,0.4506164278008938
469,"Peach County, GA",us-ga-225,0.04808727590434339
470,"Pickens County, GA",us-ga-227,0.2405257159139479
471,"Pierce County, GA",us-ga-229,0.19976747366981262
472,"Pike County, GA",us-ga-231,0.02616902849213744
473,"Polk County, GA",us-ga-233,0.32602884277172006
474,"Pulaski County, GA",us-ga-235,0.07362435813822343
475,"Putnam County, GA",us-ga-237,0.4556281618887015
476,"Quitman County, GA",us-ga-239,0.20716481002390205
477,"Rabun County, GA",us-ga-241,0.3036786786786787
478,"Randolph County, GA",us-ga-243,0.1713163577605089
479,"Richmond County, GA",us-ga-245,0.07648074543795047
480,"Rockdale County, GA",us-ga-247,0.02241782649449836
481,"Schley County, GA",us-ga-249,0.1455768030493854
482,"Screven County, GA",us-ga-251,0.062410251734986544
483,"Seminole County, GA",us-ga-253,0.14250801482502082
484,"Spalding County, GA",us-ga-255,0.03936292160143939
485,"Stephens County, GA",us-ga-257,0.31049414161996947
486,"Stewart County, GA",us-ga-259,0.19431668116555378
487,"Sumter County, GA",us-ga-261,0.1000137153307687
488,"Talbot County, GA",us-ga-263,0.0640906466649877
489,"Taliaferro County, GA",us-ga-265,0.9147157190635451
490,"Tattnall County, GA",us-ga-267,0.050452214306202045
491,"Taylor County, GA",us-ga-269,0.14399974507679564
492,"Telfair County, GA",us-ga-271,0.0099053280704203
493,"Terrell County, GA",us-ga-273,0.11518005022604488
494,"Thomas County, GA",us-ga-275,0.04971559409279719
495,"Tift County, GA",us-ga-277,0.10328782065389391
496,"Toombs County, GA",us-ga-279,0.042679213150534565
497,"Towns County, GA",us-ga-281,0.29361324659964516
498,"Treutlen County, GA",us-ga-283,0.0605814739688979
499,"Troup County, GA",us-ga-285,0.061038018376080444
500,"Turner County, GA",us-ga-287,0.10020787176182311
501,"Twiggs County, GA",us-ga-289,0.031286226735348505
